model,suite,metric,estimate,ci_lower,ci_upper,replication_kind,replication_units,bootstrap_iterations
A,hkb_lock,cooperation_rate,0.7,0.7,0.7,training_seed,2,10000
A,hkb_lock,p_dd,0.15000000000000002,0.1,0.2,training_seed,2,10000
A,hkb_lock,format_valid,1.0,1.0,1.0,training_seed,2,10000
A,hkb_lock,mean_payoff,1.05,0.8,1.3,training_seed,2,10000
A,repeated_2x2,cooperation_rate,0.7,0.7,0.7,training_seed,1,10000
A,repeated_2x2,p_dd,0.0,0.0,0.0,training_seed,1,10000
A,repeated_2x2,format_valid,1.0,1.0,1.0,training_seed,1,10000
A,repeated_2x2,mean_payoff,1.1,1.1,1.1,training_seed,1,10000
B,hkb_lock,cooperation_rate,0.9,0.9,0.9,training_seed,2,10000
B,hkb_lock,p_dd,0.1,0.1,0.1,training_seed,2,10000
B,hkb_lock,format_valid,1.0,1.0,1.0,training_seed,2,10000
B,hkb_lock,mean_payoff,0.8500000000000001,0.6,1.1,training_seed,2,10000
B,repeated_2x2,cooperation_rate,0.9,0.9,0.9,training_seed,1,10000
B,repeated_2x2,p_dd,0.1,0.1,0.1,training_seed,1,10000
B,repeated_2x2,format_valid,1.0,1.0,1.0,training_seed,1,10000
B,repeated_2x2,mean_payoff,0.9,0.9,0.9,training_seed,1,10000
D,hkb_lock,cooperation_rate,0.5,0.5,0.5,training_seed,2,10000
D,hkb_lock,p_dd,0.25,0.2,0.3,training_seed,2,10000
D,hkb_lock,format_valid,1.0,1.0,1.0,training_seed,2,10000
D,hkb_lock,mean_payoff,1.25,1.0,1.5,training_seed,2,10000
D,repeated_2x2,cooperation_rate,0.5,0.5,0.5,training_seed,1,10000
D,repeated_2x2,p_dd,0.0,0.0,0.0,training_seed,1,10000
D,repeated_2x2,format_valid,1.0,1.0,1.0,training_seed,1,10000
D,repeated_2x2,mean_payoff,1.3,1.3,1.3,training_seed,1,10000
E,hkb_lock,cooperation_rate,0.4,0.4,0.4,training_seed,2,10000
E,hkb_lock,p_dd,0.35,0.3,0.4,training_seed,2,10000
E,hkb_lock,format_valid,1.0,1.0,1.0,training_seed,2,10000
E,hkb_lock,mean_payoff,1.35,1.1,1.6,training_seed,2,10000
E,repeated_2x2,cooperation_rate,0.4,0.4,0.4,training_seed,1,10000
E,repeated_2x2,p_dd,0.1,0.1,0.1,training_seed,1,10000
E,repeated_2x2,format_valid,1.0,1.0,1.0,training_seed,1,10000
E,repeated_2x2,mean_payoff,1.4,1.4,1.4,training_seed,1,10000
