comparison,left,right,metric,status,effect,ci_lower,ci_upper,raw_p,holm_p,decision,left_training_seeds,right_training_seeds,suite,switch_direction,threshold_band
A_vs_B,A,B,recovery_time,UNAVAILABLE,,,,,,,0,2,,,
A_vs_B,A,B,mismatch,INSUFFICIENT_REPLICATION,,,,,,,1,1,battle_of_the_sexes,,
B_vs_E,E,B,lock_time,UNAVAILABLE,,,,,,,0,3,,,
B_vs_E,E,B,recovery_time,UNAVAILABLE,,,,,,,0,2,,,
B_vs_E,E,B,interleaved_separation,ESTIMATED,1.3877787807814457e-17,-0.2222222222222222,0.2222222222222222,1.0,1.0,,3,3,,,
A_vs_D,A,D,coordination_success,INSUFFICIENT_REPLICATION,,,,,,,1,1,battle_of_the_sexes,,
A_vs_D,A,D,mismatch,INSUFFICIENT_REPLICATION,,,,,,,1,1,battle_of_the_sexes,,
A_vs_B_NI,A,B,p_dd,ESTIMATED,0.0,-0.10000000000000002,0.10000000000000002,1.0,1.0,FAIL,3,3,,,
A_vs_B_NI,A,B,nonexploitability_vs_safe_defect,ESTIMATED,0.0,0.0,0.0,1.0,1.0,PASS,3,3,,,
A_vs_B_NI,A,B,format_valid,ESTIMATED,0.0,0.0,0.0,1.0,1.0,PASS,3,3,,,
A_vs_B,A,B,post_switch_cooperation,INSUFFICIENT_REPLICATION,,,,,,,2,2,,tft_to_ad,
A_vs_B,A,B,post_switch_payoff,INSUFFICIENT_REPLICATION,,,,,,,2,2,,tft_to_ad,
A_vs_B,A,B,post_switch_cooperation,INSUFFICIENT_REPLICATION,,,,,,,1,1,,ad_to_tft,
A_vs_B,A,B,post_switch_payoff,INSUFFICIENT_REPLICATION,,,,,,,1,1,,ad_to_tft,
B_vs_E,E,B,post_switch_cooperation,INSUFFICIENT_REPLICATION,,,,,,,2,2,,tft_to_ad,
B_vs_E,E,B,post_switch_payoff,INSUFFICIENT_REPLICATION,,,,,,,2,2,,tft_to_ad,
B_vs_E,E,B,post_switch_cooperation,INSUFFICIENT_REPLICATION,,,,,,,1,1,,ad_to_tft,
B_vs_E,E,B,post_switch_payoff,INSUFFICIENT_REPLICATION,,,,,,,1,1,,ad_to_tft,
B_vs_E,E,B,lock_CC,ESTIMATED,1.0,1.0,1.0,0.1,0.7000000000000001,,3,3,,,
B_vs_E,E,B,lock_DD,ESTIMATED,0.0,0.0,0.0,1.0,1.0,,3,3,,,
B_vs_E,E,B,lock_alternation,ESTIMATED,0.0,0.0,0.0,1.0,1.0,,3,3,,,
B_vs_E,E,B,p_cc,INSUFFICIENT_REPLICATION,,,,,,,1,1,,,below
B_vs_E,E,B,p_cd,INSUFFICIENT_REPLICATION,,,,,,,1,1,,,below
B_vs_E,E,B,p_dc,INSUFFICIENT_REPLICATION,,,,,,,1,1,,,below
B_vs_E,E,B,p_dd,INSUFFICIENT_REPLICATION,,,,,,,1,1,,,below
B_vs_E,E,B,p_cc,UNAVAILABLE,,,,,,,0,0,,,near
B_vs_E,E,B,p_cd,UNAVAILABLE,,,,,,,0,0,,,near
B_vs_E,E,B,p_dc,UNAVAILABLE,,,,,,,0,0,,,near
B_vs_E,E,B,p_dd,UNAVAILABLE,,,,,,,0,0,,,near
B_vs_E,E,B,p_cc,INSUFFICIENT_REPLICATION,,,,,,,2,2,,,above
B_vs_E,E,B,p_cd,INSUFFICIENT_REPLICATION,,,,,,,2,2,,,above
B_vs_E,E,B,p_dc,INSUFFICIENT_REPLICATION,,,,,,,2,2,,,above
B_vs_E,E,B,p_dd,INSUFFICIENT_REPLICATION,,,,,,,2,2,,,above
