model,training_seed,evaluation_seed,suite,partner_adaptivity,partner_policy,threshold_band,switch_direction,episodes,mean_cooperation_rate,mean_action_entropy,mean_forecast_entropy,mean_total_reward_variance,mean_mean_payoff,mean_p_cc,mean_p_cd,mean_p_dc,mean_p_dd,mean_format_valid,mean_lock_time,mean_recovery_time,mean_recovered_within_3,mean_post_switch_cooperation,mean_post_switch_payoff,mean_interleaved_separation,mean_niceness,mean_provokability_delta_p_c,mean_forgiveness_within_3,mean_retaliation_length,mean_value_defined_punishment,mean_cooperation_with_cooperators,mean_oracle_regret,mean_nonexploitability_vs_safe_defect,mean_coordination_success,mean_mismatch
A,1101,,repeated_2x2,mixed,mixed,below,tft_to_ad,1,0.7,0.8812908992306927,0.0,0.69,1.1,0.6,0.1,0.3,0.0,1.0,,,0.0,0.75,1.25,-0.08333333333333337,1.0,,1.0,1.0,0.0,0.5,0.5,0.25,0.6,0.4
A,1102,,hkb_lock,mixed,mixed,above,tft_to_ad,1,0.7,0.8812908992306927,0.0,2.7600000000000002,0.8,0.3,0.4,0.2,0.1,1.0,7.0,,0.0,0.75,-0.75,-0.08333333333333337,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.25,0.4,0.6
A,1103,,hkb_lock,mixed,mixed,above,ad_to_tft,1,0.7,0.8812908992306927,0.0,6.01,1.3,0.3,0.4,0.1,0.2,1.0,,,0.0,0.75,4.25,0.08333333333333337,1.0,0.0,,1.0,0.0,0.75,0.5,0.25,0.5,0.5
B,1201,,repeated_2x2,mixed,mixed,below,tft_to_ad,1,0.9,0.4689955935892811,0.0,0.09000000000000001,0.9,0.9,0.0,0.0,0.1,1.0,3.0,3.0,1.0,1.0,1.0,-0.16666666666666663,1.0,,1.0,0.0,1.0,0.8333333333333334,0.4999999999999999,0.25,1.0,0.0
B,1202,,hkb_lock,mixed,mixed,above,tft_to_ad,1,0.9,0.4689955935892811,0.0,2.0400000000000005,0.6,0.5,0.4,0.0,0.1,1.0,3.0,,0.0,1.0,-1.0,-0.16666666666666663,1.0,0.0,1.0,0.0,1.0,0.8333333333333334,0.5000000000000001,0.25,0.6,0.4
B,1203,,hkb_lock,mixed,mixed,above,ad_to_tft,1,0.9,0.4689955935892811,0.0,5.6899999999999995,1.1,0.4,0.5,0.0,0.1,1.0,9.0,4.0,0.0,1.0,4.0,0.16666666666666663,1.0,-0.25,,0.0,1.0,1.0,0.5,0.25,0.5,0.5
D,1401,,repeated_2x2,mixed,mixed,below,tft_to_ad,1,0.5,1.0,0.0,0.8099999999999999,1.3,0.4,0.1,0.5,0.0,1.0,6.0,,0.0,0.5,1.5,0.0,1.0,,1.0,1.0,1.0,0.3333333333333333,0.5,0.25,0.4,0.6
D,1402,,hkb_lock,mixed,mixed,above,tft_to_ad,1,0.5,1.0,0.0,2.8,1.0,0.2,0.3,0.3,0.2,1.0,6.0,,0.0,0.5,-0.5,0.0,1.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.5,0.25,0.4,0.6
D,1403,,hkb_lock,mixed,mixed,above,ad_to_tft,1,0.5,1.0,0.0,6.25,1.5,0.2,0.3,0.2,0.3,1.0,,,0.0,0.5,4.5,0.0,1.0,0.0,,1.0,1.0,0.5,0.5,0.25,0.5,0.5
E,1501,,repeated_2x2,mixed,mixed,below,tft_to_ad,1,0.4,0.9709505944546686,0.0,0.44000000000000006,1.4,0.4,0.0,0.5,0.1,1.0,,,0.0,0.5,1.5,-0.16666666666666669,0.0,,1.0,1.0,0.0,0.3333333333333333,0.5,0.25,0.5,0.5
E,1502,,hkb_lock,mixed,mixed,above,tft_to_ad,1,0.4,0.9709505944546686,0.0,2.49,1.1,0.2,0.2,0.3,0.3,1.0,,,0.0,0.5,-0.5,-0.16666666666666669,0.0,-0.5,0.0,1.0,0.0,0.3333333333333333,0.5,0.25,0.5,0.5
E,1503,,hkb_lock,mixed,mixed,above,ad_to_tft,1,0.4,0.9709505944546686,0.0,5.840000000000001,1.6,0.2,0.2,0.2,0.4,1.0,,,0.0,0.5,4.5,0.16666666666666669,0.0,0.0,,1.0,0.0,0.5,0.5,0.25,0.6,0.4
