trace_id,episode_id,model,mode,seed_role,training_seed,evaluation_seed,episode_seed,b,c,b_over_c,w,q,threshold_band,partner_adaptivity,suite,switch_direction,rounds,format_valid,cooperation_rate,mean_payoff,p_cc,p_cd,p_dc,p_dd,niceness,provokability_delta_p_c,forgiveness_within_3,nonexploitability_vs_safe_defect,oracle_regret,lock_type,lock_time,recovery_time,recovered_within_3,post_switch_cooperation,post_switch_payoff,interleaved_separation,retaliation_length,value_defined_punishment,cooperation_with_cooperators,coordination_success,mismatch
trace-01,synthetic-A-1101,A,pairwise,training,1101,,90001,2.0,1.0,2.0,0.1,0.1,below,mixed,battle_of_the_sexes,tft_to_ad,10,1.0,0.7,1.1,0.6,0.1,0.3,0.0,1.0,,1.0,0.25,0.5,,,,0.0,0.75,1.25,-0.08333333333333337,1,0.0,0.5,0.6,0.4
trace-02,synthetic-A-1102,A,pairwise,training,1102,,90002,3.0,1.0,3.0,0.5,0.5,above,mixed,stress,tft_to_ad,10,1.0,0.7,0.8,0.3,0.4,0.2,0.1,1.0,0.0,0.0,0.25,0.5,alternation,7,,0.0,0.75,-0.75,-0.08333333333333337,1,0.0,0.5,0.4,0.6
trace-03,synthetic-A-1103,A,pairwise,training,1103,,90003,5.0,1.0,5.0,0.9,0.9,above,mixed,stress,ad_to_tft,10,1.0,0.7,1.3,0.3,0.4,0.1,0.2,1.0,0.0,,0.25,0.5,,,,0.0,0.75,4.25,0.08333333333333337,1,0.0,0.75,0.5,0.5
trace-04,synthetic-B-1101,B,pairwise,training,1101,,90004,2.0,1.0,2.0,0.1,0.1,below,mixed,battle_of_the_sexes,tft_to_ad,10,1.0,0.9,0.9,0.9,0.0,0.0,0.1,1.0,,1.0,0.25,0.4999999999999999,CC,3,3,1.0,1.0,1.0,-0.16666666666666663,0,1.0,0.8333333333333334,1.0,0.0
trace-05,synthetic-B-1102,B,pairwise,training,1102,,90005,3.0,1.0,3.0,0.5,0.5,above,mixed,stress,tft_to_ad,10,1.0,0.9,0.6,0.5,0.4,0.0,0.1,1.0,0.0,1.0,0.25,0.5000000000000001,CC,3,,0.0,1.0,-1.0,-0.16666666666666663,0,1.0,0.8333333333333334,0.6,0.4
trace-06,synthetic-B-1103,B,pairwise,training,1103,,90006,5.0,1.0,5.0,0.9,0.9,above,mixed,stress,ad_to_tft,10,1.0,0.9,1.1,0.4,0.5,0.0,0.1,1.0,-0.25,,0.25,0.5,CC,9,4,0.0,1.0,4.0,0.16666666666666663,0,1.0,1.0,0.5,0.5
trace-07,synthetic-D-1101,D,pairwise,training,1101,,90007,2.0,1.0,2.0,0.1,0.1,below,mixed,battle_of_the_sexes,tft_to_ad,10,1.0,0.5,1.3,0.4,0.1,0.5,0.0,1.0,,1.0,0.25,0.5,alternation,6,,0.0,0.5,1.5,0.0,1,1.0,0.3333333333333333,0.4,0.6
trace-08,synthetic-D-1102,D,pairwise,training,1102,,90008,3.0,1.0,3.0,0.5,0.5,above,mixed,stress,tft_to_ad,10,1.0,0.5,1.0,0.2,0.3,0.3,0.2,1.0,0.0,0.0,0.25,0.5,alternation,6,,0.0,0.5,-0.5,0.0,1,1.0,0.3333333333333333,0.4,0.6
trace-09,synthetic-D-1103,D,pairwise,training,1103,,90009,5.0,1.0,5.0,0.9,0.9,above,mixed,stress,ad_to_tft,10,1.0,0.5,1.5,0.2,0.3,0.2,0.3,1.0,0.0,,0.25,0.5,,,,0.0,0.5,4.5,0.0,1,1.0,0.5,0.5,0.5
trace-10,synthetic-E-1101,E,pairwise,training,1101,,90010,2.0,1.0,2.0,0.1,0.1,below,mixed,battle_of_the_sexes,tft_to_ad,10,1.0,0.4,1.4,0.4,0.0,0.5,0.1,0.0,,1.0,0.25,0.5,,,,0.0,0.5,1.5,-0.16666666666666669,1,0.0,0.3333333333333333,0.5,0.5
trace-11,synthetic-E-1102,E,pairwise,training,1102,,90011,3.0,1.0,3.0,0.5,0.5,above,mixed,stress,tft_to_ad,10,1.0,0.4,1.1,0.2,0.2,0.3,0.3,0.0,-0.5,0.0,0.25,0.5,,,,0.0,0.5,-0.5,-0.16666666666666669,1,0.0,0.3333333333333333,0.5,0.5
trace-12,synthetic-E-1103,E,pairwise,training,1103,,90012,5.0,1.0,5.0,0.9,0.9,above,mixed,stress,ad_to_tft,10,1.0,0.4,1.6,0.2,0.2,0.2,0.4,0.0,0.0,,0.25,0.5,,,,0.0,0.5,4.5,0.16666666666666669,1,0.0,0.5,0.6,0.4
