model,training_seed,evaluation_seed,suite,partner_adaptivity,partner_policy,lock_type,threshold_band,episodes,rounds,mean_lock_time,mean_recovery_time,mean_p_cc,mean_p_cd,mean_p_dc,mean_p_dd
A,1101,,repeated_2x2,adaptive,mixed,,below,1,6,,,0.5,0.16666666666666666,0.3333333333333333,0.0
A,1101,,repeated_2x2,nonadaptive,mixed,,below,1,4,,,0.75,0.0,0.25,0.0
A,1102,,hkb_lock,adaptive,mixed,alternation,above,1,6,7.0,,0.5,0.16666666666666666,0.3333333333333333,0.0
A,1102,,hkb_lock,nonadaptive,mixed,alternation,above,1,4,7.0,,0.0,0.75,0.0,0.25
A,1103,,hkb_lock,adaptive,mixed,,above,1,4,,,0.75,0.0,0.25,0.0
A,1103,,hkb_lock,nonadaptive,mixed,,above,1,6,,,0.0,0.6666666666666666,0.0,0.3333333333333333
B,1201,,repeated_2x2,adaptive,mixed,CC,below,1,6,3.0,3.0,0.8333333333333334,0.0,0.0,0.16666666666666666
B,1201,,repeated_2x2,nonadaptive,mixed,CC,below,1,4,3.0,3.0,1.0,0.0,0.0,0.0
B,1202,,hkb_lock,adaptive,mixed,CC,above,1,6,3.0,,0.8333333333333334,0.0,0.0,0.16666666666666666
B,1202,,hkb_lock,nonadaptive,mixed,CC,above,1,4,3.0,,0.0,1.0,0.0,0.0
B,1203,,hkb_lock,adaptive,mixed,CC,above,1,4,9.0,4.0,1.0,0.0,0.0,0.0
B,1203,,hkb_lock,nonadaptive,mixed,CC,above,1,6,9.0,4.0,0.0,0.8333333333333334,0.0,0.16666666666666666
D,1401,,repeated_2x2,adaptive,mixed,alternation,below,1,6,6.0,,0.3333333333333333,0.16666666666666666,0.5,0.0
D,1401,,repeated_2x2,nonadaptive,mixed,alternation,below,1,4,6.0,,0.5,0.0,0.5,0.0
D,1402,,hkb_lock,adaptive,mixed,alternation,above,1,6,6.0,,0.3333333333333333,0.16666666666666666,0.5,0.0
D,1402,,hkb_lock,nonadaptive,mixed,alternation,above,1,4,6.0,,0.0,0.5,0.0,0.5
D,1403,,hkb_lock,adaptive,mixed,,above,1,4,,,0.5,0.0,0.5,0.0
D,1403,,hkb_lock,nonadaptive,mixed,,above,1,6,,,0.0,0.5,0.0,0.5
E,1501,,repeated_2x2,adaptive,mixed,,below,1,6,,,0.3333333333333333,0.0,0.5,0.16666666666666666
E,1501,,repeated_2x2,nonadaptive,mixed,,below,1,4,,,0.5,0.0,0.5,0.0
E,1502,,hkb_lock,adaptive,mixed,,above,1,6,,,0.3333333333333333,0.0,0.5,0.16666666666666666
E,1502,,hkb_lock,nonadaptive,mixed,,above,1,4,,,0.0,0.5,0.0,0.5
E,1503,,hkb_lock,adaptive,mixed,,above,1,4,,,0.5,0.0,0.5,0.0
E,1503,,hkb_lock,nonadaptive,mixed,,above,1,6,,,0.0,0.3333333333333333,0.0,0.6666666666666666
