model,replication_kind,replication_seed,axis,spearman_rho
A,training_seed,1101,b_over_c,
A,training_seed,1101,w,
A,training_seed,1101,q,
A,training_seed,1102,b_over_c,
A,training_seed,1102,w,
A,training_seed,1102,q,
A,training_seed,1103,b_over_c,
A,training_seed,1103,w,
A,training_seed,1103,q,
B,training_seed,1101,b_over_c,
B,training_seed,1101,w,
B,training_seed,1101,q,
B,training_seed,1102,b_over_c,
B,training_seed,1102,w,
B,training_seed,1102,q,
B,training_seed,1103,b_over_c,
B,training_seed,1103,w,
B,training_seed,1103,q,
D,training_seed,1101,b_over_c,
D,training_seed,1101,w,
D,training_seed,1101,q,
D,training_seed,1102,b_over_c,
D,training_seed,1102,w,
D,training_seed,1102,q,
D,training_seed,1103,b_over_c,
D,training_seed,1103,w,
D,training_seed,1103,q,
E,training_seed,1101,b_over_c,
E,training_seed,1101,w,
E,training_seed,1101,q,
E,training_seed,1102,b_over_c,
E,training_seed,1102,w,
E,training_seed,1102,q,
E,training_seed,1103,b_over_c,
E,training_seed,1103,w,
E,training_seed,1103,q,
